,4/7/20,4/8/20,4/9/20
Avera Sacred Heart Hospital,2.0,2.0,NA
Avera St Anthonys Hospital,2.0,2.0,NA
Avera St Benedict Health Center,0.0,0.0,NA
Avera St Lukes Hospital,2.0,2.0,NA
Avera St Marys Hospital,2.0,2.0,NA
Avera Surgical Hospital (FKA Lewis and Clark Specialty Hospital),0.0,0.0,NA
Avera Tyler Hospital,1.0,1.0,NA
Avera Weskota Memorial Hospital,0.0,0.0,NA
Avera on Louise Health Campus,0.0,0.0,NA
Avista Adventist Hospital,2.0,2.0,NA
Avon Hospital,2.0,2.0,NA
Avoyelles Hospital,2.0,2.0,NA
BHC Alhambra Hospital,0.0,0.0,NA
BSA Hospital,11.0,11.0,NA
Bacharach Institute for Rehabilitation,0.0,0.0,NA
Bacon County Hospital and Health System,1.0,1.0,NA
Bailey Medical Center,2.0,2.0,NA
Baker County Medical Services (FKA Ed Fraser Memorial Hospital),0.0,0.0,NA
Bakersfield Behavioral Healthcare Hospital,0.0,0.0,NA
Bakersfield Heart Hospital,4.0,4.0,NA
Baldpate Hospital,0.0,0.0,NA
Ballard Rehabilitation Hospital,0.0,0.0,NA
Ballinger Memorial Hospital,0.0,0.0,NA
Baltimore Convention Center Field Hospital (Temporarily Open due to COVID-19),NA,NA,NA
Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center),26.0,26.0,NA
Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus),4.0,4.0,NA
Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),18.0,18.0,NA
Banner Baywood Medical Center,10.0,10.0,NA
Banner Behavioral Health Hospital,0.0,0.0,NA
Banner Boswell Medical Center,9.0,9.0,NA
Banner Casa Grande Medical Center,4.0,4.0,NA
Banner Churchill Community Hospital,2.0,2.0,NA
Banner Del E Webb Medical Center,7.0,7.0,NA
Banner Desert Medical Center,20.0,20.0,NA
Banner Estrella Medical Center,6.0,6.0,NA
Banner Fort Collins Medical Center,2.0,2.0,NA
Banner Gateway Medical Center,3.0,3.0,NA
Banner Goldfield Medical Center (FKA Arizona Regional Medical Center - Apache Junction),2.0,2.0,NA
Banner Heart Hospital,4.0,4.0,NA
Banner Ironwood Medical Center,2.0,2.0,NA
Banner Lassen Medical Center,1.0,1.0,NA
Banner Payson Medical Center (AKA Payson Regional Medical Center),2.0,2.0,NA
Banner Thunderbird Medical Center,13.0,13.0,NA
Baptist Easley Hospital,3.0,3.0,NA
Baptist Emergency Hospital - Kelly,0.0,0.0,NA
Baptist Emergency Hospital - Thousand Oaks,0.0,0.0,NA
Baptist Health - Arkadelphia,2.0,2.0,NA
Baptist Health - Conway,2.0,2.0,NA
Baptist Health - Fort Smith (FKA Sparks Regional Medical Center),12.0,12.0,NA
Baptist Health - Heber Springs,1.0,1.0,NA
Baptist Health - Hot Spring County (FKA Hot Spring County Medical Center),2.0,2.0,NA
Baptist Health - Little Rock,15.0,15.0,NA
Baptist Health - North Little Rock,5.0,5.0,NA
Baptist Health - Stuttgart,2.0,2.0,NA
Baptist Health - Van Buren (FKA Sparks Medical Center - Van Buren),2.0,2.0,NA
Baptist Health Corbin (FKA Baptist Regional Medical Center),5.0,5.0,NA
Baptist Health Extended Care Hospital,3.0,3.0,NA
Baptist Health Floyd (FKA Floyd Memorial Hospital and Health Services),8.0,8.0,NA
Baptist Health La Grange (FKA Baptist Hospital Northeast),2.0,2.0,NA
Baptist Health Lexington (FKA Central Baptist Hospital),24.0,24.0,NA
Baptist Health Louisville (FKA Baptist Hospital East),18.0,18.0,NA
Baptist Health Madisonville (FKA Regional Medical Center of Hopkins County),7.0,7.0,NA
Baptist Health Paducah (FKA Western Baptist Hospital),12.0,12.0,NA
Baptist Health Rehabilitation Institute - Little Rock,0.0,0.0,NA
Baptist Health Richmond,5.0,5.0,NA
Baptist Hospital,20.0,20.0,NA
Baptist Hospitals of Southeast Texas - Beaumont,8.0,8.0,NA
Baptist Medical Center,26.0,26.0,NA
Baptist Medical Center Beaches,5.0,5.0,NA
Baptist Medical Center East,2.0,2.0,NA
Baptist Medical Center Jacksonville (FKA BMC Downtown),22.0,22.0,NA
Baptist Medical Center Nassau,3.0,3.0,NA
Baptist Medical Center South,8.0,8.0,NA
Baptist Memorial Hospital - Attala (FKA Montfort Jones Memorial Hospital),2.0,2.0,NA
Baptist Memorial Hospital - Booneville,2.0,2.0,NA
Baptist Memorial Hospital - Calhoun,0.0,0.0,NA
Baptist Memorial Hospital - Carroll County (AKA Baptist Memorial Hospital - Huntingdon),2.0,2.0,NA
Baptist Memorial Hospital - Desoto,7.0,7.0,NA
Baptist Memorial Hospital - Golden Triangle,4.0,4.0,NA
Baptist Memorial Hospital - Leake,1.0,1.0,NA
Baptist Memorial Hospital - Memphis,18.0,18.0,NA
Baptist Memorial Hospital - North Mississippi,5.0,5.0,NA
Baptist Memorial Hospital - Tipton,2.0,2.0,NA
Baptist Memorial Hospital - Union City,2.0,2.0,NA
Baptist Memorial Hospital - Union County,2.0,2.0,NA
Baptist Memorial Hospital - Yazoo (FKA Kings Daughters Hospital),2.0,2.0,NA
Baptist Memorial Hospital Crittenden,1.0,1.0,NA
Baptist Memorial Rehabilitation Hospital,0.0,0.0,NA
Baptist Memorial Restorative Care Hospital,2.0,2.0,NA
Baraga County Memorial Hospital,1.0,1.0,NA
Barbourville ARH Hospital (FKA Knox County Hospital),2.0,2.0,NA
Barlow Respiratory Hospital - Main Campus,8.0,8.0,NA
Barnabas Health Behavioral Health Center,0.0,0.0,NA
Barnes Kasson County Hospital,0.0,0.0,NA
Barnes-Jewish Hospital,40.0,40.0,NA
Barnes-Jewish St Peters Hospital,5.0,5.0,NA
Barnes-Jewish West County Hospital,2.0,2.0,NA
Barnesville Hospital,2.0,2.0,NA
Barrett Hospital & HealthCare (FKA Barrett Memorial Hospital),1.0,1.0,NA
Barstow Community Hospital,2.0,2.0,NA
Bartlett Regional Hospital,2.0,2.0,NA
Barton Memorial Hospital (AKA Barton Health),2.0,2.0,NA
Bartow Regional Medical Center,2.0,2.0,NA
Bassett Army Community Hospital,0.0,0.0,NA
Bassett Medical Center,5.0,5.0,NA
Bates County Memorial Hospital,2.0,2.0,NA
Bath Community Hospital,1.0,1.0,NA
Bath VA Medical Center,0.0,0.0,NA
Baton Rouge Behavioral Hospital (FKA Focus Behavioral Hospital),0.0,0.0,NA
Baton Rouge General Medical Center - Mid City Campus,9.0,9.0,NA
Baton Rouge Rehab Hospital,2.0,2.0,NA
Battle Creek VA Medical Center,0.0,0.0,NA
Battle Mountain General Hospital,2.0,2.0,NA
Baxter Regional Medical Center,4.0,4.0,NA
Bay Area Hospital,6.0,6.0,NA
Bay Pines VA Healthcare System - CW Bill Young VA Medical Center,2.0,2.0,NA
BayCare Alliant Hospital,3.0,3.0,NA
BayPointe Hospital,0.0,0.0,NA
Bayamon Medical Center (FKA Hospital Hermanos Melendez),2.0,2.0,NA
Bayfront Health - Brooksville (FKA Brooksville Regional Hospital),4.0,4.0,NA
Bayfront Health - Port Charlotte (FKA Peace River Regional Medical Center),6.0,6.0,NA
Bayfront Health - Punta Gorda (FKA Charlotte Regional Medical Center),4.0,4.0,NA
Bayfront Health - Seven Rivers (FKA Seven Rivers Regional Medical Center),5.0,5.0,NA
Bayfront Health - St Petersburg (FKA Bayfront Medical Center),7.0,7.0,NA
Bayhealth Hospital - Kent Campus,12.0,12.0,NA
Bayhealth Hospital - Sussex Campus,3.0,3.0,NA
Baylor Emergency Medical Center at Murphy,0.0,0.0,NA
Baylor Scott & White - Buda Hospital,0.0,0.0,NA
Baylor Scott & White All Saints Medical Center - Fort Worth,10.0,10.0,NA
Baylor Scott & White Clinic - Austin Oak Hill,0.0,0.0,NA
Baylor Scott & White Continuing Care Hospital - Temple,2.0,2.0,NA
Baylor Scott & White Emergency Hospital - Aubrey (FKA Emerus Hospital East Denton County),0.0,0.0,NA
Baylor Scott & White Emergency Hospital - Burleson,0.0,0.0,NA
Baylor Scott & White Emergency Hospital - Colleyville,1.0,1.0,NA
Baylor Scott & White Emergency Hospital - Mansfield,0.0,0.0,NA
Baylor Scott & White Emergency Hospital - Rockwall,0.0,0.0,NA
Baylor Scott & White Emergency Medical Center - Cedar Park,0.0,0.0,NA
Baylor Scott & White Heart and Vascular Hospital - Dallas (FKA Baylor Jack and Jane Hamilton Heart and Vascular),2.0,2.0,NA
Baylor Scott & White Institute for Rehabilitation - Dallas,0.0,0.0,NA
Baylor Scott & White Institute for Rehabilitation - Fort Worth (FKA Globalrehab - Fort Worth),0.0,0.0,NA
Baylor Scott & White Institute for Rehabilitation - Frisco,0.0,0.0,NA
Baylor Scott & White Institute for Rehabilitation - Lakeway (FKA Vibra Rehabilitation Hospital of Lake Travis),0.0,0.0,NA
Baylor Scott & White Medical Center - Brenham,2.0,2.0,NA
Baylor Scott & White Medical Center - Centennial (FKA Centennial Medical Center),2.0,2.0,NA
Baylor Scott & White Medical Center - College Station,6.0,6.0,NA
Baylor Scott & White Medical Center - Frisco,2.0,2.0,NA
Baylor Scott & White Medical Center - Grapevine,8.0,8.0,NA
Baylor Scott & White Medical Center - Hillcrest (FKA Hillcrest Baptist Medical Center),14.0,14.0,NA
Baylor Scott & White Medical Center - Irving,10.0,10.0,NA
Baylor Scott & White Medical Center - Lake Pointe,5.0,5.0,NA
Baylor Scott & White Medical Center - Llano,2.0,2.0,NA
Baylor Scott & White Medical Center - Marble Falls,3.0,3.0,NA
Baylor Scott & White Medical Center - McKinney,7.0,7.0,NA
Baylor Scott & White Medical Center - Pflugerville (AKA Pflugerville Medical Center),2.0,2.0,NA
Baylor Scott & White Medical Center - Plano,7.0,7.0,NA
Baylor Scott & White Medical Center - Round Rock,10.0,10.0,NA
Baylor Scott & White Medical Center - Sunnyvale (FKA Texas Regional Medical Center at Sunnyvale),4.0,4.0,NA
Baylor Scott & White Medical Center - Taylor (FKA Johns Community Hospital),2.0,2.0,NA
Baylor Scott & White Medical Center - Temple,35.0,35.0,NA
Baylor Scott & White Medical Center - Trophy Club,0.0,0.0,NA
Baylor Scott & White Medical Center - Uptown,0.0,0.0,NA
Baylor Scott & White Medical Center - Waxahachie (FKA Baylor Scott & White Health - North Texas),7.0,7.0,NA
Baylor Scott & White Orthopedic and Spine Hospital - Arlington,1.0,1.0,NA
Baylor Scott & White Surgical Hospital - Fort Worth,1.0,1.0,NA
Baylor Scott & White Surgical Hospital - Sherman (FKA Heritage Park Surgical Hospital),0.0,0.0,NA
Baylor Scott & White Texas Spine & Joint Hospital,1.0,1.0,NA
Baylor Scott & White the Heart Hospital - McKinney,0.0,0.0,NA
Baylor Scott & White the Heart Hospital Baylor - Plano,5.0,5.0,NA
Baylor Surgical Hospital at Las Colinas (FKA Irving Coppell Surgical Hospital),0.0,0.0,NA
Baylor T Boone Pickens Cancer Hospital,1.0,1.0,NA
Baylor University Medical Center - Dallas,33.0,33.0,NA
Bayne-Jones Army Community Hospital,0.0,0.0,NA
Bayonne Medical Center,5.0,5.0,NA
Bayshore Medical Center (AKA HCA Houston Healthcare Southeast),11.0,11.0,NA
Bayshore Medical Center (FKA Bayshore Community Hospital),10.0,10.0,NA
Bayside Community Hospital,0.0,0.0,NA
Baystate Franklin Medical Center,3.0,3.0,NA
Baystate Medical Center,36.0,36.0,NA
Baystate Noble Hospital (FKA Noble Hospital),2.0,2.0,NA
Baystate Wing Hospital,3.0,3.0,NA
Beacham Memorial Hospital,0.0,0.0,NA
Beachwood Medical Center,0.0,0.0,NA
Beacon Behavioral Hospital (FKA Beacon Childrens Hospital),0.0,0.0,NA
Beacon Behavioral Hospital - Bunkie,0.0,0.0,NA
Beacon Behavioral Hospital - Lutcher,0.0,0.0,NA
Beacon Behavioral Hospital - New Orleans (FKA Psychiatric Pavillion of New Orleans),0.0,0.0,NA
Beacon Behavioral Hospital - Northshore (FKA Magnolia Behavioral Healthcare),0.0,0.0,NA
Beacon Granger Hospital,0.0,0.0,NA
Beacon Haven,0.0,0.0,NA
Bear Lake Memorial Hospital,1.0,1.0,NA
Bear River Valley Hospital,1.0,1.0,NA
Bear Valley Community Hospital (AKA Bear Valley Community Healthcare District),2.0,2.0,NA
Beartooth Billings Clinic,1.0,1.0,NA
Beatrice Community Hospital & Health Center,2.0,2.0,NA
Beaufort Memorial Hospital,4.0,4.0,NA
Beaumont Hospital - Dearborn (FKA Oakwood Hospital - Dearborn),25.0,25.0,NA
Beaumont Hospital - Farmington Hills (FKA Botsford Hospital),16.0,16.0,NA
Beaumont Hospital - Grosse Pointe,7.0,7.0,NA
Beaumont Hospital - Royal Oak,31.0,31.0,NA
Beaumont Hospital - Taylor (FKA Oakwood Hospital - Taylor),5.0,5.0,NA
Beaumont Hospital - Trenton (FKA Oakwood Hospital - Southshore),8.0,8.0,NA
Beaumont Hospital - Troy,22.0,22.0,NA
Beaumont Hospital - Wayne (FKA Oakwood Hospital - Wayne),7.0,7.0,NA
Beauregard Health System (FKA Beauregard Memorial Hospital),2.0,2.0,NA
Beaver County Memorial Hospital,1.0,1.0,NA
Beaver Valley Hospital,0.0,0.0,NA
Beckett Springs Hospital,0.0,0.0,NA
Beckley ARH Hospital,8.0,8.0,NA
Beckley VA Medical Center,1.0,1.0,NA
Beebe Healthcare - Margaret H Rollins Lewes Campus (FKA Beebe Medical Center),6.0,6.0,NA
Behavioral Center of Michigan,0.0,0.0,NA
Behavioral Health Hospital for Children and Adolescents,0.0,0.0,NA
Behavioral Health of Rocky Top,0.0,0.0,NA
Behavioral Hospital of Bellaire,0.0,0.0,NA
Bella Vista Hospital,2.0,2.0,NA
Bellevue Hospital,2.0,2.0,NA
Bellevue Medical Center,3.0,3.0,NA
Bellin Health Oconto Hospital,0.0,0.0,NA
Bellin Health Psychiatric Center,0.0,0.0,NA
Bellin Hospital Green Bay (AKA Bellin Memorial Hospital),7.0,7.0,NA
Bellville Medical Center (FKA CHI St Joseph Health Bellville Hospital),0.0,0.0,NA
Belmont Behavioral Hospital,0.0,0.0,NA
Belmont Pines Hospital,0.0,0.0,NA
Beloit Hospital,3.0,3.0,NA
Belton Regional Medical Center (FKA Research Belton Hospital),2.0,2.0,NA
Ben Taub Hospital,13.0,13.0,NA
Benefis Hospital - East Campus,5.0,5.0,NA
Benefis Teton Medical Center,0.0,0.0,NA
Benewah Community Hospital,1.0,1.0,NA
Bennett County Hospital,0.0,0.0,NA
Benson Hospital,0.0,0.0,NA
Bergen New Bridge Medical Center (FKA Bergen Regional Medical Center),3.0,3.0,NA
Berger Hospital (FKA Berger Health System),2.0,2.0,NA
Berkeley Medical Center (FKA City Hospital),13.0,13.0,NA
Berkshire Medical Center,10.0,10.0,NA
Bertrand Chaffee Hospital,2.0,2.0,NA
Berwick Hospital Center,2.0,2.0,NA
Beth Israel Deaconess Hospital - Milton (FKA Milton Hospital),4.0,4.0,NA
Beth Israel Deaconess Hospital - Needham,2.0,2.0,NA
Beth Israel Deaconess Hospital - Plymouth,7.0,7.0,NA
Beth Israel Deaconess Medical Center,15.0,15.0,NA
Bethesda Hospital East (FKA Bethesda Memorial Hospital),14.0,14.0,NA
Bethesda Hospital West,0.0,0.0,NA
Bethesda North Hospital,7.0,7.0,NA
Bethesda Rehabilitation Hospital,0.0,0.0,NA
Betsy Johnson Hospital (FKA Harnett Health Betsy Johnson Regional Hospital),4.0,4.0,NA
Beverly Hospital,7.0,7.0,NA
Bibb Medical Center,1.0,1.0,NA
Bienville Medical Center,1.0,1.0,NA
Big Bend Regional Medical Center,2.0,2.0,NA
Big Horn County Memorial Hospital,0.0,0.0,NA
Big Sandy Medical Center,0.0,0.0,NA
Big South Fork Medical Center (FKA Pioneer Community Hospital of Scott),2.0,2.0,NA
Big Spring State Hospital,0.0,0.0,NA
Bigfork Valley Hospital,1.0,1.0,NA
Billie Jean King National Tennis Center Field Hospital (Temporarily Open due to COVID-19),NA,NA,NA
Billings Clinic Hospital,7.0,7.0,NA
Bingham Memorial Hospital,2.0,2.0,NA
Birmingham VA Medical Center,0.0,0.0,NA
Black Hills Surgical Hospital,0.0,0.0,NA
Black River Memorial Hospital,2.0,2.0,NA
Blackfeet Service Unit (AKA Blackfeet Community Hospital),1.0,1.0,NA
Blake Medical Center,8.0,8.0,NA
Blanchard Valley Hospital,4.0,4.0,NA
Blanchfield Army Community Hospital,0.0,0.0,NA
Bleckley Memorial Hospital,1.0,1.0,NA
Blessing Hospital,10.0,10.0,NA
Bloomington Meadows Hospital,0.0,0.0,NA
Blount Memorial Hospital,4.0,4.0,NA
Blue Mountain Hospital,1.0,1.0,NA
Blue Mountain Hospital District,0.0,0.0,NA
Blue Ridge Regional Hospital,2.0,2.0,NA
Bluefield Regional Medical Center,3.0,3.0,NA
Bluegrass Community Hospital,1.0,1.0,NA
Blueridge Vista Health and Wellness,0.0,0.0,NA
Bluffton Hospital,2.0,2.0,NA
Bluffton Regional Medical Center,2.0,2.0,NA
Blythedale Childrens Hospital,2.0,2.0,NA
Bob Wilson Memorial Grant County Hospital,1.0,1.0,NA
Boca Raton Regional Hospital,15.0,15.0,NA
Boise VA Medical Center,1.0,1.0,NA
Bolivar General Hospital,0.0,0.0,NA
Bolivar Medical Center,2.0,2.0,NA
Bon Secours Community Hospital,2.0,2.0,NA
Bon Secours DePaul Medical Center,4.0,4.0,NA
Bon Secours Mary Immaculate Hospital,3.0,3.0,NA
Bon Secours Maryview Medical Center,6.0,6.0,NA
Bonner General Hospital,2.0,2.0,NA
Boone County Health Center,2.0,2.0,NA
Boone County Hospital,2.0,2.0,NA
Boone Hospital Center,11.0,11.0,NA
Boone Memorial Hospital,2.0,2.0,NA
Boston Childrens Hospital,2.0,2.0,NA
Boston Medical Center,16.0,16.0,NA
Bothwell Regional Health Center,3.0,3.0,NA
Boulder City Hospital,2.0,2.0,NA
Boulder Community Foothills Hospital,2.0,2.0,NA
Boundary Community Hospital,0.0,0.0,NA
Bourbon Community Hospital,2.0,2.0,NA
Bournewood Hospital,0.0,0.0,NA
Bowdle Hospital - Critical Access Hospital,0.0,0.0,NA
Bowen Center - Warsaw Office (FKA the Otis R Bowen Center),0.0,0.0,NA
Box Butte General Hospital,2.0,2.0,NA
Boys Town National Research Hospital - Downtown,0.0,0.0,NA
Bozeman Health Big Sky Medical Center,0.0,0.0,NA
Bozeman Health Deaconess Hospital,4.0,4.0,NA
Bradford Health Services,0.0,0.0,NA
Bradford Regional Medical Center,2.0,2.0,NA
Bradley County Medical Center,2.0,2.0,NA
Bradley Hospital,0.0,0.0,NA
Brandon Regional Hospital,10.0,10.0,NA
Brandywine Hospital,3.0,3.0,NA
Brattleboro Memorial Hospital,2.0,2.0,NA
Brattleboro Retreat,0.0,0.0,NA
Braxton County Memorial Hospital,2.0,2.0,NA
Breckinridge Health (FKA Breckinridge Memorial Hospital),2.0,2.0,NA
Brentwood Behavioral Healthcare,0.0,0.0,NA
Brentwood Hospital,0.0,0.0,NA
Brentwood Springs Hospital (FKA Brentwood Meadows),0.0,0.0,NA
BridgePoint Continuing Care Hospital (FKA Kindred Hospital West Jefferson Hospital - Marrero),2.0,2.0,NA
BridgePoint Continuing Care Hospital - EJGH Campus (FKA Saint Theresa Specialty Hospital - East Jefferson Campus),2.0,2.0,NA
BridgePoint Hospital Capitol Hill (FKA Specialty Hospital of Washington - Capital Hill),5.0,5.0,NA
BridgePoint Hospital National Harbor (FKA Specialty Hospital of Washington - Hadley BridgePoint Hospital - Hadley),5.0,5.0,NA
Bridgeport Hospital,8.0,8.0,NA
Bridgeport Hospital Milford Campus (FKA Milford Hospital),2.0,2.0,NA
Bridgewater State Hospital,0.0,0.0,NA
Bridgton Hospital,2.0,2.0,NA
Brigham City Community Hospital,2.0,2.0,NA
Brigham and Womens Faulkner Hospital,4.0,4.0,NA
Brigham and Womens Hospital,24.0,24.0,NA
Bristol Hospital,5.0,5.0,NA
Bristol Regional Medical Center (FKA Wellmont Bristol Regional Medical Center),14.0,14.0,NA
Bristow Medical Center,0.0,0.0,NA
Broaddus Hospital,1.0,1.0,NA
Broadlawns Medical Center,2.0,2.0,NA
Broadview Christian Science Nursing,0.0,0.0,NA
Broadwater Health Center,0.0,0.0,NA
Brodstone Memorial Hospital,1.0,1.0,NA
Bronson Battle Creek Hospital,5.0,5.0,NA
Bronson LakeView Hospital,2.0,2.0,NA
Bronson Methodist Hospital,13.0,13.0,NA
Bronson South Haven Hospital (FKA South Haven Community Hospital),2.0,2.0,NA
Bronx Psychiatric Center,0.0,0.0,NA
BronxCare Hospital Center - Fulton Campus,13.0,13.0,NA
Brook Lane Psychiatric Center,0.0,0.0,NA
Brookdale Hospital Medical Center,19.0,19.0,NA
Brooke Glen Behavioral Hospital,2.0,2.0,NA
Brookhaven Hospital,0.0,0.0,NA
Brookings Health System (FKA Brookings Hospital),2.0,2.0,NA
Brooklyn Cruise Terminal Field Hospital (Temporarily Open due to COVID-19),NA,NA,NA
Brooklyn Hospital Center at Downtown Campus,12.0,12.0,NA
Brooks County Hospital,1.0,1.0,NA
Brooks Memorial Hospital,2.0,2.0,NA
Brooks Rehabilitation Hospital,0.0,0.0,NA
Brookwood Baptist Medical Center (FKA Brookwood Medical Center),8.0,8.0,NA
Broughton Hospital,0.0,0.0,NA
Broward Health Coral Springs (FKA Coral Springs Medical Center),4.0,4.0,NA
Broward Health Imperial Point (FKA Imperial Point Medical Center),3.0,3.0,NA
Broward Health Medical Center (FKA Broward General Medical Center),10.0,10.0,NA
Broward Health North (FKA North Broward Medical Center),7.0,7.0,NA
Brown County Community Treatment Center,0.0,0.0,NA
Brown County Hospital,0.0,0.0,NA
Brownfield Regional Medical Center,1.0,1.0,NA
Brownwood Regional Medical Center,3.0,3.0,NA
Brunswick Hospital Center Psychiatric Hospital (AKA Brunswick Hall),0.0,0.0,NA
Brunswick Medical Center (FKA Brunswick Community Hospital),2.0,2.0,NA
Brushy Creek Family Hospital,NA,NA,NA
BryLin Hospitals,0.0,0.0,NA
Bryan East Campus,12.0,12.0,NA
Bryan W Whitfield Memorial Hospital,2.0,2.0,NA
Bryce Hospital,0.0,0.0,NA
Bryn Mawr Hospital,5.0,5.0,NA
Bryn Mawr Rehab Hospital,0.0,0.0,NA
Brynn Marr Hospital,0.0,0.0,NA
Buchanan County Health Center,0.0,0.0,NA
Buchanan General Hospital,2.0,2.0,NA
Bucktail Medical Center,0.0,0.0,NA
Bucyrus Hospital (FKA Bucyrus Community Hospital),2.0,2.0,NA
Buena Vista Regional Medical Center,2.0,2.0,NA
Buffalo General Medical Center (FKA Buffalo General Hospital),16.0,16.0,NA
Buffalo Hospital,2.0,2.0,NA
Buffalo Psychiatric Center,0.0,0.0,NA
Bullock County Hospital,1.0,1.0,NA
Bunkie General Hospital (FKA Paces/Bunkie General Hospital),0.0,0.0,NA
Burdett Birth Center,1.0,1.0,NA
Burgess Health Center,2.0,2.0,NA
Burke Medical Center,1.0,1.0,NA
Burke Rehabilitation Hospital,0.0,0.0,NA
Burnett Medical Center,0.0,0.0,NA
Butler County Health Care Center,0.0,0.0,NA
Butler Hospital,0.0,0.0,NA
Butler Memorial Hospital,3.0,3.0,NA
Butler VA Health Care System (FKA VA Butler Medical Center),0.0,0.0,NA
Butte County Psychiatric Health Facility,0.0,0.0,NA
Byrd Regional Hospital,2.0,2.0,NA
CAMC General Hospital,36.0,36.0,NA
CCM Health (FKA Chippewa County Montevideo Hospital),2.0,2.0,NA
